Code,Description
G_4_18,"This column tracks the health conditions diagnosed by a healthcare provider, specifically focusing on heart failure. The values indicate whether individuals have been diagnosed with heart failure."
G_4_19,"Health conditions diagnosed by a healthcare provider, including Hepatitis B."
G_4_20,"Health conditions diagnosed by a healthcare provider, including Hepatitis C (hep C)."
G_4_22,"Health conditions diagnosed by a healthcare provider, including high blood pressure."
G_4_21,"Health conditions diagnosed by a healthcare provider, including Hepatitis D (hep delta)."
G_4_23,"Health conditions diagnosed by a healthcare provider, including high cholesterol/triglycerides."
G_4_24,"Health conditions diagnosed by a healthcare provider, including HIV."
G_4_25,Health conditions diagnosed by a healthcare provider: Hypothyroidism.
G_4_26,Captures the health conditions diagnosed by a healthcare provider. Sample value: Hyperthyroidism.
G_4_29,"This column tracks the health conditions diagnosed by a healthcare provider, including Irritable bowel syndrome (IBS)."
G_4_27,"Column values include a list of health conditions that respondents have been diagnosed with by a healthcare provider, such as Acquired immune deficiency syndrome (AIDS). The column tracks the presence of specific medical conditions among the survey participants."
G_4_28,"This column tracks the health conditions diagnosed by a healthcare provider, with examples like Insomnia. The values represent a selection of health conditions, including Insomnia, that respondents have been diagnosed with."
G_4_30,This column tracks the health condition of Menorrhagia (heavy menstrual bleeding) as diagnosed by a healthcare provider. The values indicate whether the respondent has been diagnosed with this condition.
